Zonal office,Company,Incident date,Contaminant,Estimated quantity,Quantity recovered,Type of facility,Cause,FID,Site location name,Latitude,Longitude,LGA,Spill area habitat,States affected,TYPE_1
ph,Aiteo E&P,1/7/2019,cr,2950,730,pl,sab,134,"CAWTHORNE CHANNEL 3, NTCL ROW",4.5738056,6.9397222,Degema,sw,RI,State
ph,NAOC,1/6/2019,cr,373,251.5,wh,sab,135,Ebegoro 13T Well head. loweer master valves on the well head were removed by unknown persons,5.3572778,6.6829722,Ogba/Egbema/Ndoni,la,RI,State
wa,NPDC,12/31/2018,cr,118,117.7,mf,sab,136,NPDC OGHAREKI -1 LOCATION - OGHAREKI COMMUNITY.,5.9667722,5.6496944,Ethiope-West,la,DE,State
wa,Heritage,12/17/2018,cr,586,566,pl,eqf,137,"28"" Trans Forcados pipeline at Batan.",5.5627778,5.5580556,Warri-South,sw,DE,State
wa,SPDC,12/11/2018,cr,107,100,pl,sab,138,20'' OTUMARA-ESCRAVOS PIPELINE @ OTUMARA AXIS.,5.6446944,5.1484444,Warri-South-West,sw,DE,State
ph,SPDC,11/26/2018,cr,208,,tk,sab,139,18'' ASSSA-RUMUEKPE TRUNK-LINE AWARA IN OHAJI/EGBEMA,5.3209611,6.7887389,Ohaji/Egbema,la,IM,State
ph,NAOC,11/24/2018,cr,199,,pl,sab,140,"24'' Ogoda -Brass pipeline @ Obodhi ,",4.9836389,6.5208333,Ahoada-West,la,RI,State
by,NAOC,11/23/2018,cr,144,,pl,sab,141,6'' OGBOINBIRI/TEBIDABA PIPELINE AT AZUZUAMA,4.7353056,5.9745,Southern-Ijaw,sw,BY,State
wa,NDWEST,11/17/2018,cr,500,,pl,sab,142,10'' UTOROGU/UPS DELIVERY @ OTOR-EDO.,5.4734167,5.8999722,Ughelli-South,"la,sw",DE,State
wa,NDWEST,11/16/2018,cr,300,,pl,sab,143,10'' UTOROGU-UPS DELIVERY LINE@ OTOR-EDO.,5.47525,5.9014722,Ughelli-South,ss,DE,State
by,NAOC,11/15/2018,cr,231,,pl,cor,144,10'' CLOUGH CREEK/TEBIDABA PIPELINE AT AZUZUAMA,4.6837222,5.8983056,Southern-Ijaw,,BY,State
by,NAOC,11/12/2018,cr,100,,pl,cor,145,18'' TEBIDABA/BRASS PIPELINE AT BABARAGBENE,4.5172778,6.0244444,Southern-Ijaw,sw,BY,State
by,NAOC,11/9/2018,cr,206,199.62,pl,cor,146,24'' BRASS MANIFOLD/BRASS PIPELINE AT OKPOAMA,4.3700556,6.2797778,Brass,sw,BY,State
ph,SPDC,11/9/2018,cr,170,65,pl,sab,147,"12"" IMO RIVER - OGALE T/L @ UZUAKU.",4.89391,7.17656,Ukwa-West,la,RI,State
ph,SPDC,10/26/2018,cr,157,150,pl,sab,148,"24"" Bomu-bonny Trans Niger pipeline at Patrick Watetrside Rivers state",4.59356,7.25753,Gokana,sw,RI,State
by,NAOC,10/22/2018,cr,208.5,20,wh,eqf,149,IDU 11 L WELLHEAD AT EGBEBIRI,5.2722222,6.55,Ogba/Egbema/Ndoni,la,BY,State
ph,Aiteo E&P,10/17/2018,cr,129.41,12,pl,sab,150,AWOBA OPU BILLE BEKO DEGEMA RIVERS STATE.,4.5572222,6.8158333,Degema,sw,RI,State
wa,Neconde,10/16/2018,cr,280,805,pl,eqf,151,JONES CREEK 16'' TRUNKLINE EGWA.,5.6304722,5.4280278,Warri-South-West,sw,DE,State
ph,SPDC,10/15/2018,cr,332,80,pl,sab,152,20'' KOLO CREEK PIPELINE AT IMOGU-RUMUEKPE,4.9807,6.67949,Emuoha,"la,ss",RI,State
ph,NAOC,9/11/2018,cr,500,,pl,sab,153,"24"" OGODA-BRASS PIPELINE AT OYAKAMA/OBODHI COMMUNITY, AWELGA, RIVERS STATE.",5.025,6.5375,Ahoada-West,"la,ss",RI,State
ph,SPDC,9/9/2018,cr,622,420,pl,sab,154,"24""/36"" Nkpoku-Bomu TNP ROW @ Eneka",4.919725,7.033248,Obio/Akpor,,RI,State
ph,Eroton E&P,8/12/2018,cr,148,11,pl,sab,155,6'' ALAKRI DELIVERY LINE,4.9846111,7.1314167,Ogo-Bolo,ss,RI,State
by,SPDC,8/1/2018,cr,847,,other:,sab,156,14'' OKODIA-RUMUEKPE TRUNKLINE AT IKARAMA,5.1359167,6.47075,Yenagoa,ss,BY,State
ph,SPDC,7/24/2018,cr,201,,pl,sab,157,"20"" Remuekpe-Nkpoku pipe line Ibaa",4.9542611,6.8153083,Emuoha,la,RI,State
by,SPDC,7/21/2018,cr,167,,pl,sab,158,16'' Nun river kolo creek pipeline at Otuegwe 1,4.8372222,6.2379722,Southern-Ijaw,sw,BY,State
ph,SPDC,7/20/2018,cr,468.57,,pl,sab,159,20'' KOLOCREEEK-RUMUEKPE (TRUNKLINE) PIPELINE,4.9807,6.6794889,Emuoha,la,RI,State
ph,SPDC,7/13/2018,cr,603,,pl,sab,160,"20"" Rumuekpe-Nkpoku Trans Niger Pipeline @ Ibaa",4.953757,6.832904,Emuoha,la,RI,State
ph,SPDC,6/29/2018,cr,389,,pl,sab,161,"20"" KOLOCREEK-RUMUEKPE (T/L) PIPELINE @ ODAU",4.92825,6.4366667,Ogbia,sw,RI,State
ph,NAOC,6/15/2018,cr,330,,pl,sab,162,"10'' OSHIE-OGODA PIPELINE AT IDU-EKPEYE COMMUNITY AWELGA, RIVERS STATE",5.1066222,6.529625,Ahoada-West,ss,RI,State
ph,SPDC,6/13/2018,cr,587,141,pl,sab,163,"14"" OKORDIA-RUMUEKPE PIPELINE, ULA-IKATA, AHOADA-EAST LGA, RIVERS STATE",5.05074,6.58352,Ahoada-West,la,RI,State
ph,Aiteo E&P,6/8/2018,cr,330,,pl,sab,164,ELEM KALABARI AXIS,4.5749722,6.961,Degema,sw,RI,State
wa,Heritage,6/2/2018,cr,150,,pl,eqf,165,28'' TRANS FORCADOS @ YEYE,5.41775,5.3790556,Burutu,la,DE,State
wa,Heritage,6/2/2018,cr,150,,pl,ome,166,"28"" TRANS FORCADOS @ YEYE",5.4190278,5.37975,Burutu,la,DE,State
ph,NAOC,5/26/2018,cr,736,63,pl,sab,167,"24""Ogoda-Brass pipeline at Emago-KUgbo/ Amuruto Axis, Abua/Odua LGA. Rivers State.",4.8008333,6.42775,Abua-Odual,la,RI,State
by,SPDC,5/24/2018,cr,166,,pl,sab,168,12'' ADIBAWA-OKORDIA PIPELINE AT IKARAMA,5.1650556,6.4578056,Yenagoa,ss,BY,State
wa,Heritage,5/7/2018,cr,2000,2333,pl,sab,169,28'' TRANSFORCADOS PIPELINE AT EWEREGBENE.,5.5390556,5.5043611,Warri-South-West,sw,DE,State
wa,NPDC,5/1/2018,cr,150,50.31,fl,sab,170,NPDC CHEVRON JV 4'' SL AROH FLOW LINE AT AJAMIMOGHA,6.0086111,5.4186111,Ovia-North-East,sw,ED,State
ph,SPDC,4/28/2018,cr,116,56,pl,sab,171,12'' IMO RIVER- OGALE PIPELINE @ UMUELECHI UZUAKU,4.8938,7.17641,Ukwa-West,la,AB,State
wa,SPDC,4/26/2018,cr,580,212,pl,cor,172,24'' TRANS RAMOS PIPELINE (OIL) @ ODIMODI.,5.2519722,5.3797222,Burutu,sw,DE,State
wa,SPDC,4/25/2018,cr,924,693,pl,eqf,173,24'' TRANS-RAMOS PIPELINE (OIL) @ ODIMODI.,5.2871389,5.3709167,Burutu,sw,DE,State
ph,TOTAL,4/16/2018,cr,140,136,pl,sab,174,KM 27 OBAGI-RUMUEKPE CRUDE OIL EXPORT PIPE LINE @ EKWUTCHE.,5.0107222,6.692,Emuoha,la,RI,State
by,SPDC,3/30/2018,cr,165,57,pl,sab,175,14'' OKORDIA-RUMUEKPE P/L @ IKARAMA,5.146375,6.4591167,Yenagoa,ss,BY,State
wa,Heritage,3/30/2018,cr,100,,pl,sab,176,28'' TRANS FORCADOS PIPELINE @ YEYE.,5.4300278,5.3850278,Warri-South-West,sw,DE,State
ph,SPDC,3/15/2018,cr,116,21,pl,sab,177,"28""BOMU-BONNY TNP AT AYAMBO BONNY.",4.44557,7.17445,Bonny,sw,RI,State
wa,NDWEST,3/3/2018,cr,100,,pl,sab,178,10'' UTOROGU / UPS DELIVERY LINE @ OTOR-EDO.,5.47375,5.9002222,Ughelli-South,ss,DE,State
wa,Heritage,2/27/2018,cr,200,,pl,sab,179,28'' TFP @ BATAN.,5.5638889,5.5961111,Warri-South,sw,DE,State
wa,Heritage,2/27/2018,cr,400,250,pl,sab,180,28'' TFP AT BATAN,5.5638889,5.5961111,Warri-South,sw,DE,State
wa,Heritage,2/27/2018,cr,113,98,pl,eqf,181,28'' TFP AT YEYE,5.4241667,5.3816667,Burutu,sw,DE,State
ph,SPDC,2/21/2018,cr,566,303,pl,sab,182,12'' Imo River - Ogale pipeline at Kom - Kom,4.85589,7.1648686,Oyigbo,la,RI,State
by,SPDC,2/14/2018,cr,470,,pl,sab,183,12'' ADIBAWA-OKORDIA P/L @ IKARAMA,5.17525,6.4685278,Yenagoa,ss,BY,State
by,SPDC,2/14/2018,cr,470,,pl,sab,184,12'' Adibawa-Okordia p/l @ Ikerema,5.17525,6.4685278,Yenagoa,ss,BY,State
wa,WRPC,1/10/2018,cr,943,940.5,st,eqf,185,"TANK 05 EXTERNAL DRAIN PIT VALVE @ WRPC , WARRI.",5.5689167,5.7143333,Warri-South,la,DE,State
ph,NAOC,12/25/2017,cr,789,,pl,sab,186,"24'' OGODA/BRASS PIPELINE, EMAGO-KUGBO, ABUA-ODUA LGA, RIVERS STATE.",4.7142778,6.4250278,,"la,ss",RI,State
ph,SPDC,12/22/2017,cr,187,,pl,ome,187,Single Point Mooring One (SPM1),4.17072,7.2273,Bonny,iw,RI,State
ph,SPDC,12/22/2017,cr,113,,pl,sab,188,"20"" Rumuekpe-Nkpoku Trans Niger pipeline, Ibaa, Emohua Lga, Rivers State.",4.95427,6.81589,Emuoha,la,RI,State
wa,NDWEST,12/7/2017,cr,315,,,,189,INHEREKAN RIVER WITH EXTENSION TO OKPARE BRIDGE.,5.4548611,5.8917778,Ughelli-South,iw,DE,State
wa,Heritage,11/25/2017,cr,150,,pl,sab,190,28'' TRANSFOCADOS PIPELINE @ YEYE.,5.4213056,5.3799167,Burutu,sw,DE,State
ph,SPDC,11/14/2017,cr,2026,,pl,sab,191,20'' KOLO CREEK-RUMUEKPE PIPELINE,4.93812,6.50026,Abua-Odual,"ss,la,iw",RI,State
ph,SPDC,11/11/2017,cr,103,54,pl,sab,192,"28'' Nkpoku-Bomu Pipeline at Norkpo, Tai L.G.A Rivers State",4.7355278,7.2055833,Tai,,RI,State
by,NAOC,10/23/2017,cr,143.16,1.258,pl,sab,193,10'' CLOUGH CREEK P/L RISER @ GBARAUN,4.7788611,5.7798056,Southern-Ijaw,sw,BY,State
ph,NAOC,9/7/2017,cr,524.797,,pl,sab,194,10'' OSHIE -OGODA PIPELINE AT IDU-EKPEYE IN AHOADA WEST L.G.A.RIVERS STATE.,5.1143333,6.5526389,Ahoada-West,la,RI,State
ph,SPDC,8/26/2017,cr,797,,pl,sab,195,20'' KoloCreek-Rumuekpe pipeline at Odau community,4.9282,6.4366,Abua-Odual,"la,ss",RI,State
by,NAOC,8/22/2017,cr,180,124,pl,cor,196,10'' CLOUGH CREEK/TEBIDABA PIPELINE AT APOI,4.7103333,5.8775556,Southern-Ijaw,sw,BY,State
by,NAOC,8/22/2017,cr,180,124,pl,cor,197,10'' CLOUGH/TEBIDABA P/L @ APOI,4.7086667,5.8672222,Southern-Ijaw,sw,BY,State
by,SPDC,8/11/2017,cr,1669,825,wh,sab,198,ADIBAWA NORTH EAST WELL 1 @ BESENI,5.2575,6.5213889,Yenagoa,"la,sw",BY,State
by,NAOC,7/23/2017,cr,131,120,fl,sab,199,6'' AZUZUAMA/OGBOINBIRI F/L @ IKEINGHENBIRI,4.7106389,5.9861389,Southern-Ijaw,sw,BY,State
ph,Aiteo E&P,7/7/2017,cr,4300,52,pl,sab,200,"NCTL ROW at Elem Kalabbri Axis, in Cawthorne Channel, Rivers State",4.5750278,6.9545653,Degema,sw,RI,State
ph,TOTAL,7/2/2017,cr,1066,2.8,pl,sab,201,KM 24.8 OBAGI-RUMUEKPE EXPORT PIPELINE,5.031,6.6925278,Emuoha,la,RI,State
ph,SPDC,6/27/2017,cr,135,120,pl,sab,202,"12"" IMO RIVER-OGALE TNP @ UMUOLOLO IN ABIA STATE",4.9433898,7.1847898,Ukwa-West,,RI,State
wa,NAOC,6/26/2017,cr,100,88,wh,sab,203,KWALE 2 WELL HEAD LOCATION AT BENEJU/UMU-EZE IWARIA.,5.653,6.5075,Ndokwa-East,la,DE,State
ph,SPDC,6/1/2017,cr,1127,600,pl,sab,204,20'' KoloCreek-Rumuekpe pipeline,4.9283,6.43727,Abua-Odual,"la,ss",RI,State
ph,SPDC,5/29/2017,cr,629,373,pl,sab,205,"12""' imo river/ogale pipeline,uzuaku",4.8946111,7.1769722,Ukwa-West,la,AB,State
ph,SPDC,5/18/2017,cr,766,,pl,sab,206,20'' KOLO CREEK-RUMUEKPE PIPELINE,4.93924,6.50029,Abua-Odual,iw,RI,State
wa,Heritage,4/13/2017,cr,116.9,106.9,wh,sab,207,AfiesereWell 6S @ Afiesere Community.,5.5527222,6.0077222,Ughelli-North,la,DE,State
ph,SPDC,3/27/2017,cr,977,654,pl,sab,208,"12'' IMO RIVER - OGALE PIPELINE, UZUAKU, UKWA WEST, ABIA STATE.",4.8945278,7.1768611,Ukwa-West,la,RI,State
ph,SPDC,3/25/2017,cr,570,,st,eqf,209,BONNY OIL AND GAS TERMINAL TANK 9 (NINE) STORAGE @ BONNY IN RIVERS STATE.,4.4297306,7.1618194,Bonny,la,RI,State
ph,SPDC,3/3/2017,cr,539,277,pl,sab,210,"12 IMO RIVER - OGALE PIPELINE, KOM-KOM, OYIGBO LGA, RIVERS STATE.",4.8800556,7.1724722,Oyigbo,la,RI,State
ph,NAOC,2/21/2017,cr,104,60,wh,sab,211,UMUORU 6T WELL HEAD @ UTU-ECHI COMMUNITY,5.4051389,6.4896389,Ogba/Egbema/Ndoni,la,RI,State
wa,NPDC,2/12/2017,cr,6866.16,6786,Delivery Line,sab,212,NPDC 16'' UZERE-EREMU DELIVERY LINE @ IYEDE,5.4991667,6.0837778,Isoko-North,ss,DE,State
wa,NPDC,12/8/2016,cr,100,,Delivery Line,sab,213,24'' UPS/ RAPELE DELIVERY LINE @ OHREREHE AGBARHO,5.5629722,5.8499167,Uvwie,la,DE,State
ph,NAOC,12/6/2016,cr,179.63,,pl,sab,214,24'' OGODA -BRASS PIPELINE @ EMAGO-KUGBO.,4.7138056,6.4265278,ABOUA,ss,RI,State
ph,NAOC,11/17/2016,cr,126.53,,pl,sab,215,24'' OGODA-BRASS PIPELINE ANYU RIVERS STATE,4.8429444,6.4681944,Abua-Odual,"la,ss",RI,State
wa,SPDC,11/9/2016,cr,4712,75,pl,sab,216,48'' FORCADOS TERMINAL EXPORT PIPELINE AT OGULAGHA.,5.2680917,5.3000333,Burutu,of,DE,State
wa,NPDC,11/3/2016,cr,210,,pl,sab,217,NPDC 28'' TFP BETWEEN ODIDI / BATAN ERESIGBENE COMMUNITY.,5.5441389,5.5155,Warri-South-West,sw,DE,State
ph,SPDC,11/1/2016,cr,202,157,pl,sab,218,"18"" Assa-Rumuekpe PL @ Egbeda",5.2194167,6.7652,Emuoha,la,RI,State
by,SPDC,10/27/2016,cr,316,,pl,ome,219,16'' NUN-RIVER/KOLOCREEK P/L @ AGBURA/OTUOKPOTI,4.8633889,6.2640556,Ogbia,ss,BY,State
by,SPDC,10/23/2016,cr,390,,fl,sab,220,6'' KANBO WALL 6T FLOWLINE @ AGBIDAMA/EGBEMOANGALABIRI,4.886702,5.664786,Ekeremor,sw,BY,State
ph,NAOC,10/21/2016,cr,133.35,,pl,sab,221,10'' OGODA -OSHIE DELIVERY LINE @ IDU-EKPEYE COMMUNITY.,5.1066667,6.5299167,Ahoada-West,ss,RI,State
by,SPDC,10/17/2016,cr,182,,fl,sab,222,6'' KANBO WELL 7S AND 9T FLOWLINE @ AGBIDAMA/EGBEMOANGALABIRI,5.4701944,6.0862778,Isoko-North,sw,BY,State
wa,NPDC,10/15/2016,cr,188.67,150.94,pl,sab,223,16'' ERIEMU - UPS DELIVERY LINE @ EKIUGBO,5.5146944,5.9570833,Ughelli-North,la,DE,State
by,NAOC,10/4/2016,cr,1455,1000,pl,sab,224,14'' OGBOINBIRI/TEBIDABA P/L @ IKEINGHENBIRI,4.7256111,5.9726111,Southern-Ijaw,sw,BY,State
ph,SPDC,9/18/2016,cr,222,30,pl,sab,225,12'' IMORIVER- OGALE PIPELINE OWAZA ABIA STATE,4.94354,7.18479,UKWA WEST,la,AB,State
wa,NPDC,8/30/2016,cr,16720,7391,DELIVERY LINE,sab,226,NPDC 12'' EVWRENI UPS DELIVERY LINE @ OGOR - ETERI,5.4631111,5.9833611,Ughelli-North,ss,DE,State
wa,NPDC,8/15/2016,cr,180,,pl,sab,227,28'' TF PIPELINE @ YEYE,5.4055556,5.3726944,Warri-South-West,sw,DE,State
ph,Aiteo E&P,8/10/2016,cr,2585,808,pl,sab,228,30'' NCTL @ AWOBA.,4.5567222,6.8225,Degema,sw,RI,State
wa,SPDC,7/31/2016,cr,417,187,pl,sab,229,"24'' TRANS - RAMOS PIPELINE "" ODIMODI",5.2850833,5.3713056,Burutu,sw,DE,State
by,NAOC,7/28/2016,cr,100,,pl,sab,230,"18"" TEBIDABA/BRASS PIPELINE AT LASUKUGBENE.",4.5097222,6.0380556,SOUTHERN IJAW,sw,BY,State
ph,SPDC,7/11/2016,cr,294,25,pl,sab,231,28'' TRANS NIGER PIPELINE AT GIO COMMUNITY,4.7101694,7.2342611,Tai,la,RI,State
ph,SPDC,7/4/2016,cr,264,135,pl,sab,232,"18"" Trans Niger Pipeline @ Elele-Alimini",5.05667,6.70325,Emuoha,la,RI,State
ph,SPDC,7/4/2016,cr,264,,pl,sab,233,18'' ASSA-RUMUEKPE @ ELELE-ALIMINI/IHUABA,5.0566722,6.7118806,Emuoha,la,RI,State
by,NAOC,7/2/2016,cr,250,,pl,sab,234,18'' TEBIDABA/BRASS PIPELINE @ BENIKRUKRU,4.5345278,5.9884167,Southern-Ijaw,sw,BY,State
wa,SPDC,6/3/2016,cr,957,190.19,pl,sab,235,48'' FORCADOS EXPORT PIPELINE @ OGULAHA / ISIAYE OKUNTU.,5.310841,5.335781,Burutu,sw,DE,State
ph,SPDC,5/16/2016,cr,220,117,wh,sab,236,Obigbo W28 Wellhead @ Imeh Community,4.922042,7.068627,Obio/Akpor,la,RI,State
ph,SPDC,5/14/2016,cr,330,147,pl,sab,237,"12"" imo river-Oghale pipeline Owaza Abia state",4.94641,7.184861,Ukwa-West,la,AB,State
wa,CHEVRON,5/4/2016,cr,250,,mf,sab,238,OKAN VALVE PLATFORM.,5.5695333,5.1,Warri-South-West,of,DE,State
ph,SPDC,5/4/2016,cr,304,,mf,cor,239,"IBAA MANIFOLD 8'' HEADER ,IBAA.",4.9546667,6.8028056,Emuoha,la,RI,State
wa,NPDC,4/28/2016,cr,2664,1220,pl,eqf,240,16'' UPS TRUNKLINE OTOR - EDO,5.4738056,5.90025,Ughelli-South,ss,DE,State
ph,SPDC,3/24/2016,cr,743,75,pl,sab,241,20''' kolo-creek- rumuekpe trans niger pipeline odua,4.928302,6.437303,Abua-Odual,la,RI,State
ph,SPDC,3/21/2016,cr,178,107,pl,sab,242,12'' OGUTA - EGBEMA DELIVERY LINE @ EZIORSU,5.6223056,6.7580833,Oguta,la,IM,State
ph,NAOC,3/20/2016,cr,189.5,113,wh,sab,243,"UMORU 6T WELL HEAD @ UTECHI COMMUNITY,ONELGA RIVERS STATE.",5.4051389,6.4896389,Ogba/Egbema/Ndoni,la,RI,State
wa,SEEPCO,3/12/2016,cr,230,200,pl,sab,244,SEEPCO 8'' BENEKU / ASEMOKU EXPORT LINE @ UMU - UZOR OKPAI.,5.6929722,6.576,Ndokwa-East,ss,DE,State
ph,SPDC,3/9/2016,cr,361,57,pl,,245,"8""BELEMA-SEGO DELIVERY LINE @ OFFOINAMA AKUKU TORU LGA",4.4766944,6.6573611,Akuku-Toru,sw,RI,State
by,SPDC,2/18/2016,cr,114,,pl,sab,246,20” Opukushi-Brass Creek Pipeline at Tamogbene,4.9419444,5.6869722,Ekeremor,,BY,State
by,NAOC,2/10/2016,cr,180.26,,pl,eqf,247,14'' OGBOINBIRI/TEBIDABA PIPELINE @ IKEINGHENBIRI,4.7056667,5.9685278,Southern-Ijaw,sw,BY,State
wa,NPDC,1/29/2016,cr,300,,pl,cor,248,29'' TFP @ DIEBIRI - BATAN,5.56175,6.5460278,Warri-South-West,iw,DE,State
wa,NPDC,1/25/2016,cr,150,,pl,cor,249,UTORROGU - UPS 16'' TRUNKLINE @ UGHEVWUGE,5.48575,5.9108333,Ughelli-South,la,DE,State
by,NAOC,12/15/2015,cr,310.73,,pl,sab,250,24'' OGODA/BRASS PIPELINE @ IDEMA,4.6866389,6.4174167,Ogbia,ss,BY,State
ph,SPDC,11/22/2015,cr,270,105,pl,other:,251,"28"" bomu-bonny pipeline@ Otokolomabie- Oloma",4.477719,7.196613,Bonny,sw,RI,State
by,NAOC,11/13/2015,cr,515.32,6,fl,sab,252,TAYLOR CREEK 2L & S FLOWLINE @ AKUMONI,5.1243056,6.4590556,Yenagoa,la,BY,State
ph,SPDC,11/9/2015,cr,103,32,pl,sab,253,"28"" NKPOKU-BOMU PIPELINE, B-DERE",4.6909806,7.2543806,Gokana,la,RI,State
wa,NPDC,11/7/2015,cr,100,56,pl,sab,254,EKAKPAMRE 24'' UPS RAPELE TRUNK LINE,5.5344167,5.90125,Ughelli-South,la,DE,State
wa,SEPLAT,11/5/2015,cr,738,38,trunkline,eqf,255,24'' AMUKPE - RAPELE TRUNKLINE @ ORERE - OLUBA.,5.64375,5.7142778,Warri-South,la,DE,State
ph,NAOC,11/1/2015,cr,117,63,wh,sab,256,Mgbede 17T Wellhead,5.4805278,6.7314444,Ogba/Egbema/Ndoni,la,RI,State
wa,NPDC,10/27/2015,cr,102,62,wh,sab,257,"NPDC Eriemu well 13 and 19 at Omavowe, Ughelli North delta state.",5.5361944,6.03725,Ughelli-North,"la,sw",DE,State
wa,NPDC,9/24/2015,cr,250,,pl,sab,258,28'' TRANSFORCADOS PIPELINE @ OTEGHELE,5.5658056,5.6173056,Warri-South,sw,DE,State
wa,NPDC,9/24/2015,cr,150,20,pl,sab,259,24'' UPS RAPELE DELIVERY EGBOKODO ITSEKIRI.,5.57575,5.0726111,Warri-South,la,DE,State
wa,NPDC,9/17/2015,cr,152,124,pl,sab,260,24'' UPS RAPELE DELIVERY LINE @ NIGER CAT EKPAN,5.5766667,5.7333639,Uvwie,la,DE,State
ph,SPDC,9/12/2015,cr,864,,pl,sab,261,28'' TNP @KPOGHOR,4.7148611,7.2253333,Tai,la,RI,State
ph,SPDC,9/12/2015,cr,864,,pl,sab,262,28'' TNP @KPOGHOR,4.7185,7.2253333,Tai,la,RI,State
ph,SPDC,9/11/2015,cr,637,,pl,sab,263,"20"" Trans Niger Pipeline at Ibaa",4.9545189,6.8080281,Emuoha,"la,ss",RI,State
ph,SPDC,8/31/2015,cr,946,,pl,sab,264,"20"" RUMUEKPE-NKPOKU PIPELINE OMUIGWOR-IBAA",4.9535278,6.8379444,Emuoha,la,RI,State
wa,SPDC,8/27/2015,cr,461,400,pl,sab,265,SEIBOU BULKLINE -4 AT AZAGBENE,4.8838333,5.8527778,Ekeremor,sw,BY,State
wa,SEEPCO,8/24/2015,cr,180,30,pl,sab,266,8'' BENEKU / ASEOMOKU EXPORT LINE @ ODIGWE OKPAI,5.6910278,6.5455833,Ndokwa-East,sw,DE,State
ph,SPDC,8/19/2015,cr,144,100,pl,sab,267,"28"" NKPOKU - BOMU (TPN) PIPELINE @ GIO IN TAI LGA OF RIVERS STATE.",4.8597778,7.1358889,Obio/Akpor,la,RI,State
ph,TOTAL,8/16/2015,cr,1200,20,pl,sab,268,"KM 25/26 OBAGI-RUMUEKPE, 12"" CRUDE OIL EXPORT PIPELINE, IMOGU, RUMUEKPE COMMUNITY, RIVERS STATE",5.0109722,6.69175,Emuoha,la,RI,State
by,SPDC,8/12/2015,cr,132.5,,pl,sab,269,"12"" Adibawa – Okordia Pipeline at Ikarama",5.1545278,6.4520278,Yenagoa,la,BY,State
ph,NAOC,7/26/2015,cr,107.1,,fl,sab,270,Taylor Creek 2SS Flowline at Akomoni Community,5.1253889,6.4420833,Yenagoa,ss,BY,State
wa,NPDC,7/23/2015,cr,150,,pl,sab,271,"24"" Eriemu UPSA Delivery Line @ Ekigbo, Ughelli North L.G.A., Delta State.",5.52,5.9969444,Ughelli-North,la,DE,State
ph,SPDC,7/23/2015,cr,233,,wh,sab,272,ADIBAWA WELL 16T WELLHEAD,5.2026439,6.482853,Yenagoa,"la,sw",RI,State
