Zonal office,Company,Incident date,Contaminant,Estimated quantity,Quantity recovered,Type of facility,Cause,FID,Site location name,Latitude,Longitude,LGA,Spill area habitat,States affected,TYPE_1
wa,NPDC,7/20/2015,cr,120,63,pl,eqf,273,"NPDC 10"" Ogini Eriemu Delivery line@Uramudhy community, isoko north LO.G.A., Delta State.",5.5662222,6.2682778,Isoko-North,la,DE,State
ph,NAOC,7/20/2015,cr,1894,,pl,sab,274,24'' OGODA-BRASS PIPELINE AT EMAGO-KUGBO COMMUNITY IN ABUA-ADUAL LGA OF RIVERS STATE,4.7078611,6.4245,Ogbia,"iw,la,ss",RI,State
wa,NPDC,7/17/2015,cr,300,190,pl,sab,275,"NPDC 16"" Uzere-Eriemu Delivery line@ Emede, Isoko south L.G.A., Delta State.",5.4338056,6.17225,Isoko-South,la,DE,State
ph,SPDC,7/7/2015,cr,948,,pl,sab,276,"20"" KOLOCREEK-RUMUEKPE TRANS NIGER PIPELINE,ABUA/ODUAL LGA, RIVERS STATE.",4.9280278,6.4355833,Ogbia,sw,RI,State
ph,NAOC,6/29/2015,cr,1815,,other: STOCK TANK,sab,277,"EBOCHA CRUDE OIL STOCK TANK 3, EBOCHA OIL CENTRE, OKWUZI.",5.46075,6.6973333,Ogba/Egbema/Ndoni,la,RI,State
ph,NAOC,6/28/2015,cr,17386,,other: STOCK TANK,sab,278,"EBOCHA CRUDE OIL STOCK TANK 1, EBOCHA OIL CENTRE, OKWUZI.",5.4596944,6.6969167,ONELGA,la,RI,State
ph,NAOC,6/18/2015,cr,162,85,wh,sab,279,UMUORU 6T WELLHEAD AT THE WELLHEAD LOCATION.,5.4051389,6.4896389,Ogba/Egbema/Ndoni,la,RI,State
ph,SPDC,6/4/2015,cr,150.44,10,pl,sab,280,"28'' NKPOKU-BOMU PIPELINE,B-DERE",4.6926389,7.25375,Gokana,la,RI,State
ph,SPDC,6/2/2015,cr,306,,pl,sab,281,20'' kolocreek-Rumuekpe pipeline,4.92787,6.43441,Abua-Odual,sw,RI,State
ph,TOTAL,5/19/2015,cr,100,72,pl,sab,282,km 25-26 obagi rumekpe export line,5.02575,6.6924444,Emuoha,la,RI,State
wa,NPDC,5/14/2015,cr,100,,pl,sab,283,"NPDC 6"" OZIENGBE / OREDO EXPORT PIPELINE",6.0946111,5.5291111,Ikpoba-Okha,sw,ED,State
ph,SPDC,5/2/2015,cr,192,160,fl,sab,284,agbada 2 well 34s flowline,4.9292778,7.0243611,Obio/Akpor,la,RI,State
wa,NPDC,4/21/2015,cr,240,189,Delivery line,sab,285,"8"" UZERE DELIVERY LINE",5.3906111,6.21375,Isoko-South,la,DE,State
ph,SPDC,4/19/2015,cr,189,114,pl,sab,286,30'' NEMBE CREEK PIPELINE AT BILLE.,4.5632778,6.8505,Degema,sw,RI,State
wa,NPDC,3/30/2015,cr,285,283,Trunk line,sab,287,"12"" EVWRENI UPS TRUNKLINE @ EDJEKOTA/ OGOR",5.4301944,6.0016944,Ughelli-North,la,DE,State
wa,NPDC,3/22/2015,cr,1200,628.93,pl,sab,288,ERIEMU UPS DELIVERY LINE @ EKIUGBO,5.5181111,5.6378056,Ughelli-North,"sw,ss",DE,State
wa,NPDC,3/11/2015,cr,120,114,pl,sab,289,12' KOKORI ERIEMU DELIVER LINE @ OTERI AGBARA,5.5686944,6.0605556,Ughelli-North,la,DE,State
ph,SPDC,3/3/2015,cr,440,,pl,sab,290,"SPDC 10"" Diebu Creek-Nun River Delivery Line @ Oporoma, Bayelsa State.",4.77925,6.1064722,Southern-Ijaw,sw,BY,State
ph,SPDC,3/3/2015,cr,440,,pl,sab,291,"SPDC 10"" Diebu Creek-Nun River Delivery Line @ Oporoma, Bayelsa State.",4.77825,6.1063889,Southern-Ijaw,sw,BY,State
wa,NPDC,3/1/2015,cr,250,,pl,sab,292,"NPDC 24"" ERIEMU DELIVERY LINE @ EKREJEBOR",5.5215278,6.0300278,Ughelli-North,sw,DE,State
ph,SPDC,2/18/2015,cr,189,182,pl,sab,293,"8"" umuechem-nkpoku omunei etche.",4.9828889,7.0239167,Etche,la,RI,State
ph,NAOC,2/14/2015,cr,200,,pl,eqf,294,"14"" Ogboinbiri/Tebidaba PL @ Ikebiri",4.6803611,5.9619167,Southern-Ijaw,sw,BY,State
ph,NAOC,2/10/2015,cr,109,,pl,sab,295,"18""TEBIDABA BRASS PIPELINE AT BABERAGBENE",4.5176944,6.0236389,Southern-Ijaw,sw,BY,State
ph,NAOC,2/9/2015,cr,123,,pl,sab,296,"18""TEBIDABA/BRASS PIPELINE AT OYEREGBENE",4.4919167,6.0848611,Brass,sw,BY,State
wa,NPDC,2/5/2015,cr,100,,pl,sab,297,28'' TRANSFORCADOS PIPELINE @ DIEBIRI BATAN POINT A.,5.5635833,5.5923056,Warri-South-West,sw,DE,State
wa,NPDC,2/5/2015,cr,100,,pl,sab,298,28'' TRANSFORCADOS PIPELINE @ EKEREMO.,5.4736667,5.44475,Warri-South-West,sw,DE,State
ph,SPDC,1/29/2015,cr,196,105,pl,sab,299,"28'' TRANS NIGER PIPELINE @ BODO WEST, RIVERS STATE",4.5729444,7.2538056,Bonny,sw,RI,State
wa,SPDC,1/23/2015,cr,549,,fl,eqf,300,SEIBOU WELL 2S,4.8274167,5.9118611,Southern-Ijaw,"sw,iw",BY,State
ph,SPDC,1/18/2015,cr,217,,pl,sab,301,"30""NCTL@Opomakiri",4.5748056,7.0287222,Degema,iw,RI,State
wa,NPDC,1/5/2015,cr,220,,pl,eqf,302,28'' TRANSFORCADOS PIPELINE @ TUAFT CREEK IN YEYE COMMUNITY,5.4208333,5.3795833,Burutu,"la,sw",DE,State
wa,NPDC,1/3/2015,cr,350,,Trunkline,sab,303,24'' UPS RAPELE TRUNKLINE @ EGBOKODO - ITSEKIRI.,5.5774167,5.6824167,Warri-South,sw,DE,State
wa,NPDC,12/29/2014,cr,108,,pl,sab,304,"NPDC 6"" OZIENGBE / OREDO EXPORT PIPELINE",6.0945278,5.5345833,Ikpoba-Okha,la,DE,State
wa,NPDC,12/28/2014,cr,200,,pl,sab,305,"28"" TRANS - FORCADOS PIPELINE @ OFUOGBENE AND YEYE",5.4731111,5.4456944,Burutu,sw,DE,State
wa,NPDC,12/5/2014,cr,5000,,pl,sab,306,"28"" TRANS FORCADOS PIPELINE @ DIEBIRI BATAN",5.5625,5.5507778,Warri-South-West,sw,DE,State
ph,SPDC,11/28/2014,cr,121,40,pl,sab,307,28'' bomu - bonny pipe line @ mogho,4.65025,7.2778333,Gokana,la,RI,State
ph,SPDC,11/26/2014,cr,114,75,pl,sab,308,28'' NKPOKU - BOMU PIPELINE @ B-DERE,4.6895278,7.2558056,Gokana,la,RI,State
wa,NPDC,11/25/2014,cr,5000,,pl,sab,309,"28"" TRANS FORCADOS PIPELINE @ DIEBIRI / BATAN",5.56325,5.5948056,Warri-South-West,sw,DE,State
ph,NAOC,11/25/2014,cr,290,,pl,sab,310,"18"" TEBIDABA/BRASS P/L @ LASUKUGBENE",4.5088889,6.0407222,Southern-Ijaw,sw,BY,State
ph,NAOC,11/24/2014,cr,250,,pl,sab,311,"14"" OGBOINBIRI/TEBIDABA P/L @ IKEBIRI",4.7054444,5.9685278,Southern-Ijaw,"sw,ss",BY,State
ph,SPDC,11/21/2014,cr,105,32,pl,cor,312,24'' OLD NEMBE CREEKLINE TRUNK NCTL@SEGO,4.4995278,6.6123056,Akuku-Toru,sw,RI,State
ph,SPDC,11/16/2014,cr,245,,pl,sab,313,8'' Odeama-Tora delivery pipeline Nembe Bassambiri,4.4425,6.5041667,Brass,sw,BY,State
ph,SPDC,11/12/2014,cr,350,133,pl,sab,314,"12"" IMO RIVER-OGALE PIPELINE @ OWAZA",4.9804444,7.1748889,Etche,ss,AB,State
wa,NPDC,10/28/2014,cr,150,,pl,sab,315,NPDC 16'' OLOMORO - ERIEMU DELIVERY LINE @ OLOMORO.,5.4565278,6.1389167,Isoko-South,ss,DE,State
wa,NPDC,10/14/2014,cr,220,,pl,sab,316,"28'' TRANSFORCADOS PIPELINE @ CHANOMI-WEST, YEYE COMMUNITY.",5.4429722,5.3925833,Warri-South-West,iw,DE,State
ph,SPDC,10/5/2014,cr,1200,,mf,sab,317,OKORDIA MANIFOLD,5.1541667,6.4522778,Yenagoa,la,RI,State
ph,SPDC,10/1/2014,cr,280,261,pl,sab,318,"10"" Diobu Creek-Nun River DL @ Oporoma",4.7972222,6.1077778,Southern-Ijaw,ss,BY,State
wa,Heritage,9/29/2014,cr,586,314.46,other:Flare stack,eqf,319,HERITAGE KOKORI FLOWSTATION / FLARESTACK @ ATAGBUGHWE/ EROHIKO COMMUNITY.,5.6517778,6.0698889,Ughelli-North,"la,ss",DE,State
ph,NAOC,9/20/2014,cr,630,,pl,sab,320,"10"" Kwale/Akri Pipeline Riser@ Odugiri. the 4"" Flange on the Riser was removed.",5.6370278,6.6304444,Ogba/Egbema/Ndoni,"ss,iw,la",RI,State
ph,SPDC,9/19/2014,cr,102,10,pl,sab,321,"28"" Nkpoku-Bomu pipeline @ B-Dere",4.6912222,7.2543056,Gokana,"iw,la",RI,State
wa,NPDC,9/14/2014,cr,120,,pl,cor,322,"CHANOMI EAST CHAMBER (28"" TRANS FORCADOS PIPELINE).",5.4607222,5.4104444,Burutu,sw,DE,State
ph,SPDC,8/27/2014,cr,120,35,pl,cor,323,"Old 24"" Nembe-Creek Pipeline@Luckyland",4.50625,6.6873333,Akuku-Toru,sw,RI,State
ph,SPDC,8/27/2014,cr,120,105,pl,cor,324,"24"" nctl sanbarth manifold",4.5061944,6.6873333,Akuku-Toru,sw,RI,State
ph,SPDC,8/9/2014,cr,294,206,pl,sab,325,"12"" IMO RIVER-OGALE TRUNKLINE AT KOMKOM",4.8726944,7.1375833,Oyigbo,ss,RI,State
ph,SPDC,8/7/2014,cr,102,82,pl,sab,326,24'' TORA-SERGIO (NCTL) P/L @ OWANGAIN RIVERS,4.4881667,6.5883056,Akuku-Toru,sw,RI,State
wa,NPDC,8/1/2014,cr,190,,fs,cor,327,"Abura 4"" Flowline at Otujeremi, Ughelli South L.G.A., Delta State.",5.43525,5.8776389,Ughelli-South,la,DE,State
ph,SPDC,7/13/2014,cr,390,390,fs,eqf,328,"Nembe 2 Flowstation @ Aweresuo, Bayelsa State",4.4525556,6.32575,Nembe,sw,BY,State
uy,MPN,6/29/2014,cr,30260,7000,st,eqf,329,QIT Process area,4.5430278,8.0131111,Ibeno,la,AK,State
ph,SPDC,6/25/2014,cr,367,317,pl,sab,330,"10"" DIEBU CREEK-NUN RIVER PIPELINE AT ONYOMA/ENIWARI",4.7526944,6.1028056,Southern-Ijaw,sw,BY,State
ph,SPDC,6/23/2014,cr,180,,fl,cor,331,Nembe 1 well 23T flowline @ Nembe creek,4.4356944,6.322,Nembe,sw,BY,State
ph,NAOC,6/22/2014,cr,150,100,pl,sab,332,"18"" Tebidaba Brass Pipeline at Oyeregbene in Bayelsa State",4.5047222,6.0570833,Southern-Ijaw,sw,BY,State
ph,SPDC,6/21/2014,cr,166,,pl,sab,333,"28"" BOMU BONNYTRANS NIGER PIPELINE AT OWOKIRI",4.5510833,7.2486111,Bonny,sw,RI,State
ph,SPDC,6/12/2014,cr,629,,mf,sab,334,"12"" Adebawa-Okordia Deliveryline @ Okordia Manifold",5.1544167,6.4521111,Yenagoa,"la,iw",BY,State
wa,NPDC,6/10/2014,cr,187,,pl,sab,335,28'' TRANS-FORCADOS PIPELINE (TFP) @ OTEGHELE.,5.5941944,5.6181111,Warri-South,iw,DE,State
ph,SPDC,5/22/2014,cr,251,5.4,pl,sab,336,10'' Diebu Creek-Nun River Delivery line @ Oporoma,4.7956389,6.1075278,Southern-Ijaw,sw,BY,State
ph,SPDC,5/21/2014,cr,157,130,pl,sab,337,"28"" NKPOKU - BOMU PIPELINE, EKPORO.",4.7220278,7.2213889,Eleme,la,RI,State
ph,SPDC,5/21/2014,cr,657,480,pl,sab,338,"28"" NKPOKU- BOMU PIPELINE, EKPORO,",4.7206667,7.2228611,Eleme,la,RI,State
ph,NAOC,5/12/2014,cr,250,,pl,sab,339,"18"" Teb/Brass Pipeline@Lasukugbene",4.5074722,6.0470833,Southern-Ijaw,sw,BY,State
ph,SPDC,5/9/2014,cr,143,125,pl,cor,340,"10"" Ekulama delivery line at Ekulama1",4.5439444,6.6941111,Akuku-Toru,sw,RI,State
wa,SPDC,5/7/2014,cr,266,,wh,sab,341,YOKRI WELL HEAD 79,5.42975,5.2707222,Warri-South-West,sw,DE,State
ph,SPDC,4/28/2014,cr,221,156,pl,sab,342,"28"" Nkpoku-bomu p/l @ B-dere",4.6943611,7.2528889,Gokana,la,RI,State
ph,SPDC,4/24/2014,cr,5604,5061,pl,sab,343,"30"" Nembe Creek pipeline @ Bille",4.5678056,6.8721111,Degema,sw,RI,State
ph,SPDC,4/13/2014,cr,296,56.6,pl,sab,344,"16"" Nun River-Kolo CreekTrunk Line at Aguobiri",4.8216944,6.1397778,Southern-Ijaw,sw,BY,State
ph,NAOC,4/7/2014,cr,150,,pl,sab,345,"18""TEBIDABA/BRASS PIPELINE AT OYEREGBENE (31).",4.5055,6.0550278,Southern-Ijaw,sw,BY,State
ph,NAOC,4/3/2014,cr,100,,pl,sab,346,"18"" Tebidaba-Brass pipeline @ Benikrukru 4",4.5371667,5.9793889,Southern-Ijaw,sw,BY,State
ph,SPDC,3/25/2014,cr,106,80,pl,eqf,347,10'' DIEBU CREEK MANIFOLD-NUN RIVER MANIFORD PIPELINE@PEREMABIRI,4.6613611,6.0786111,Southern-Ijaw,sw,BY,State
wa,NPDC,3/20/2014,cr,120,,fl,ome,348,"ABURA F/L @ OGBE-UDU / OKOLOR UBURHE, UDU LGA, DELTA STATE.",5.4325833,5.8239444,Udu,sw,DE,State
ph,SPDC,3/13/2014,cr,275,231,pl,eqf,349,10' DIEBU CREEK - NUN RIVER PIPELINE @ PEREMABIRI,4.6612222,6.0784722,Southern-Ijaw,sw,BY,State
ph,NAOC,3/10/2014,cr,147,40,wh,sab,350,Ebegoro 12 Wellhead,5.3646944,6.6668278,Ogba/Egbema/Ndoni,la,RI,State
ph,NAOC,3/9/2014,cr,2450,2210,pl,sab,351,"18'' TEBIDABA/BRASS PIPELINE @ BABEREGBENE, BAYELSA STATE.",4.5198889,6.0201944,Southern-Ijaw,"sw,la,iw",BY,State
ph,NAOC,3/1/2014,cr,1300,1100,pl,sab,352,"18'' TEBIDABA/BRASS PIPELINE @ KALATORU, BAYELSA STATE",4.5431944,5.9580833,Southern-Ijaw,sw,BY,State
ph,NAOC,2/18/2014,cr,134.9,,pl,eqf,353,"24"" OGODA /BRASS P/L @ OKOROBA BUT CONFIRM AS AGRISABA",4.6099167,6.3921667,Nembe,ss,BY,State
ph,NAOC,2/17/2014,cr,1000,82,pl,sab,354,"18"" Tebidaba / Brass pipeline kalatoru",4.5436111,5.9570833,Southern-Ijaw,sw,BY,State
ph,SPDC,2/17/2014,cr,210,195,pl,sab,355,"18"" Asa-Rumuekpe Pipeline at Elele- Alinimi and Ihuaba",5.0535833,6.7029167,Emuoha,la,RI,State
ph,SPDC,1/27/2014,cr,302,287,mf,sab,356,"Okordia Manifold, Bayelsa State.",5.1541944,6.4522778,Yenagoa,"la,ss",BY,State
ph,SPDC,1/25/2014,cr,236,171,pl,sab,357,30''NCTL AT CAWTHORNE CHANNEL,4.5770833,6.9745556,Degema,sw,RI,State
wa,NPDC,1/20/2014,cr,100,,pl,cor,358,"28"" Transforcados Odidi/Kantu pipeline.",5.5313889,5.4936944,Warri-South-West,sw,DE,State
ph,SPDC,1/19/2014,cr,234,228,pl,sab,359,"28"" Nkpoku-Bomu Pipeline at Ekporo, Eleme LGA, Rivers State.",4.7218056,7.2216667,Eleme,la,RI,State
ph,SPDC,1/17/2014,cr,270,200,pl,sab,360,"28"" Nkpoku-Bomu Pipeline at Ekporo, Eleme LGA, Rivers State.",4.7234722,7.2197778,Eleme,la,RI,State
wa,NPDC,1/9/2014,cr,100,,pl,sab,361,"oziengbe oml III export pipeline at ajatiton, Ikpoba-Okah, Edo State.",6.0921389,5.5184444,Ikpoba-Okha,sw,ED,State
ph,SPDC,12/23/2013,cr,313,238,pl,sab,362,"16"" NUN RIVER-KOLO CREEK T/L @ OPOROMA",4.8063611,6.1019444,Southern-Ijaw,sw,BY,State
ph,NAOC,12/12/2013,cr,150,,pl,sab,363,"18"" TEB/BRASS P/L @ IGBEMATORU",4.5276111,6.0049167,Southern-Ijaw,sw,BY,State
wa,SEEPCO,12/2/2013,cr,350,,Barge,eqf,364,"Sunken barge (Seepco base) Ramos river, Agge in Burutu L.G.A., Delta State.",5.1507222,6.6299167,Ahoada-East,co,DE,State
ph,SPDC,12/2/2013,cr,163,4,pl,sab,365,"6"" AWOBA D/l @ AWOBA",4.5502778,6.8141667,Degema,sw,RI,State
,NAOC,11/27/2013,cr,224.55,90,,eqf,366,SBM OFFSHORE BRASS,4.06717,6.26844,,of,BY,State
ph,SPDC,11/26/2013,cr,194,50,pl,cor,367,"10"" EKULAMA II D/L @ EKULAMA",4.5405278,6.6906389,Akuku-Toru,sw,RI,State
ph,SPDC,11/21/2013,cr,332,215,pl,sab,368,"28"" BOMU- BONNY TRANS NIGER PIPELINE @ KPOR",4.6557222,7.2768611,Gokana,la,RI,State
ph,NAOC,11/21/2013,cr,150,,pl,sab,369,18'' TEB/BRASS PIPELINE @ BABARAGBENE,4.5144722,6.0288056,Southern Ijaw,sw,BY,State
ph,NAOC,11/20/2013,cr,250,,,sab,370,18'' TEB/BRASS P/L @ IGBEMATORU,4.5261944,6.0078889,Southern Ijaw,sw,BY,State
ph,SPDC,11/18/2013,cr,210,3.8,pl,sab,371,"14"" OKORDIA RUMUEKPE TRANS NIGER PIPELINE @ RUMUEKPE",4.9943611,6.6683056,Emuoha,la,RI,State
,NAOC,11/17/2013,cr,100,88,pl,sab,372,18'' TEB/BRASS PIPELINE @ KAMBORRO,4.5643333,5.9411389,Southern Ijaw,sw,BY,State
,SPDC,11/12/2013,cr,315,113.2,,sab,373,"6"" OBIGBO NORTH - OGALE DELIVERY LANE @ OGALE",4.838389,7.156389,Eleme,la,RI,State
ph,SPDC,11/6/2013,cr,399,227,pl,sab,374,"24"" TNPL @ KPOR",4.655639,7.276833,Gokana,la,RI,State
ph,SPDC,11/2/2013,cr,101,98,,sab,375,"14"" OKORDIA-RUMUEKPE TRUNKLINE @ IKARAMA",5.153694,6.452722,Yenagoa,la,BY,State
,NAOC,10/27/2013,cr,100,88,,sab,376,18' TEBIDABA/BRASS PIPELINE AT LASUKUGBENE,4.5090833,6.0400278,Southern Ijaw,sw,BY,State
ph,SPDC,10/19/2013,cr,169,156,pl,sab,377,"14"" OKORDIA-RUMUEKPE PIPELINE",5.119,6.487167,Ahoada West,la,RI,State
ph,SPDC,10/9/2013,cr,2249,1870,pl,eqf,378,"24""TNP AT NONWA",4.744722,7.244,Tai,la,RI,State
,NAOC,9/20/2013,cr,250,,,sab,379,18'' OBAMA/BRASS PIPELINE @ ONITORU,4.43175,6.2694167,Nembe,sw,BY,State
ph,SPDC,9/17/2013,cr,235,130,,sab,380,"12"" IMO RIVER2- OGALE PIPELINE @ OWAZA",4.9464444,7.1848333,Ukwa-West,la,AB,State
ph,SPDC,9/17/2013,cr,648,589,,sab,381,"28"" TNP @ OLOMA",4.481889,7.198889,Bonny,sw,RI,State
,SPDC,9/10/2013,cr,1330,1300,,sab,382,"28"" BOMU-BONNY TNP @ BODO WEST",4.592417,7.257194,GOKANA,sw,RI,State
ph,NAOC,9/3/2013,cr,100,,,sab,383,18''TEBIDABA/BRASS PIPELINE @ KOMBORRO BAYELSA STATE,4.5476389,5.9412778,Southern Ijaw,sw,BY,State
,NAOC,8/14/2013,cr,264,89,,sab,384,"18"" TEB/BRASS P/L @ KALATORU",4.5429444,5.9582778,Southern Ijaw,sw,BY,State
wa,NPDC,8/13/2013,cr,150,,fl,eqf,385,"Abura 4"" Flowline at Udu, Udu local government.",5.4186111,5.8221944,Udu,"sw,ss",DE,State
,NAOC,8/9/2013,cr,250,,,sab,386,"18"" TEB/BRASS P/L @ IGBEMATORU",4.5262778,6.0076389,Southern Ijaw,sw,BY,State
,SPDC,8/7/2013,cr,166,,,sab,387,CAWTHERNE CHANNEL LOOP TIE IN MANIFOLD @ ILOMATORU,4.550611,7.060583,Bonny,sw,RI,State
wa,SEEPCO,8/3/2013,cr,150,,other:barge,other:,388,NIATAGBENE / AGGE - EGBEPOU COMMUNITY.,5.1383889,5.3859722,Burutu,ns,DE,State
wa,SEEPCO,8/3/2013,cr,943.4,,Barge,other:,389,"Agge - Egbepou community, Burutu L.G.A., Delta State. (Barge accident)",5.1383889,5.3859722,Burutu,ns,"DE,BY",State
ph,SPDC,7/28/2013,cr,196,45,,sab,390,28'' BOMU-BONNY PIPELINE @ FREETOWN,4.513389,7.231056,Bonny,sw,RI,State
ph,SPDC,7/23/2013,cr,266,179,,sab,391,"12"" IMO RIVER-OGALE P/L @ OWAZA",4.945056,7.184806,Ukwa-West,la,AB,State
ph,SPDC,7/9/2013,cr,1070,187,,sab,392,"20'', 36'' RUMUEKPE-NKPOKU PIPELINE@ IBAA",4.95375,6.833,Emuoha,la,RI,State
ph,NAOC,7/7/2013,cr,400,320,,sab,393,14''AKRI/EOC PIPELINE @ MMAHU(ATAKU),5.5852778,6.7003333,Ohaji/Egbema,la,IM,State
ph,SPDC,7/1/2013,cr,112,,,sab,394,IMO RIVER WELL 2S F/L AT IGIRIUKWU,4.980139,7.183444,Etche,la,RI,State
,SPDC,6/29/2013,cr,166,105,,sab,395,"28"" BOMU-BONNY TNP AT BODO WEST",4.587028,7.256472,GOKANA,sw,RI,State
,SPDC,6/28/2013,cr,768,500,,sab,396,"36"" TNPL @ ENEKA",4.898833,7.051028,Obio/Akpor,la,RI,State
ph,NAOC,6/24/2013,cr,400,300,,sab,397,18'' OBAMA/BRASS PIPELINE@ OLUGUAMA,4.5666389,6.2713889,Nembe,sw,BY,State
,SPDC,6/19/2013,cr,2699,510,,sab,398,"28"" NKPOKU-BONNY TRANS NIGER PIPELINE @BODO CITY",4.574694,7.254139,Bonny,sw,RI,State
,SPDC,6/9/2013,cr,508,265,,sab,399,"28"" BOMU-BONNY T/L @ BODO WEST",4.584778,7.256222,Bonny,sw,RI,State
wa,SPDC,6/7/2013,cr,135,,,sab,400,OTUMARA,5.615472,5.172833,Warri-South-West,,DE,State
ph,SPDC,6/4/2013,cr,447,11,,sab,401,"14"" ADIBAWA-OKORDIA-RUMUEKPE P/L @ IKARAMA",5.1531947,6.4531669,Yenegoa,la,BY,State
ph,SPDC,6/3/2013,cr,110,86,,sab,402,"10"" DIEBU CREEK-NUN RIVER D/L @ ONYEMA",4.767972,6.104556,Southern Ijaw,sw,BY,State
wa,SPDC,5/15/2013,cr,990,,,sab,403,ILLEGAL LOCAL REFINERIES,,,,,DE,State
wa,SPDC,5/5/2013,cr,135,,,sab,404,UTUMARA,5.625778,5.164306,Warri-South-West,,DE,State
ph,SPDC,4/29/2013,cr,124,,,sab,405,"30"" NCTL AT BILLE",4.56475,6.845611,Degema,sw,RI,State
,SPDC,4/24/2013,cr,442,438,,sab,406,"24"" NKPOKU-BOMU T/L @ ELELENWA",4.857083,7.099722,Obio/Akpor,la,RI,State
ph,NAOC,4/18/2013,cr,198,180,,eqf,407,OSHIE 6LS F/L CLOSE TO OSHIE 6 WELL LOCATION @ OSHIE,5.1007222,6.4951944,Ahoada-West,la,RI,State
wa,SPDC,4/5/2013,cr,101.64,,pl,sab,408,20'' OPUKUSHI/BRASS CREEK TRUNKLINE,4.949139,5.669186,Ekeremor,sw,DE,State
,NAOC,3/30/2013,cr,200,,,ytd,409,"24"" OGADA/BRASS P/L @ FANTUO",4.3468889,6.3470278,Brass,sw,BY,State
ph,SPDC,3/26/2013,cr,658,42,pl,sab,410,"12"" IMOR T/L @ KOMKOM",4.876667,7.172611,Oyigbo,la,RI,State
ph,SPDC,3/22/2013,cr,310,275,,sab,411,"12"" OGUTA-EGBEMA T/L @ OBIAKPU",5.573028,6.76075,Ohaji/Egbema,la,IM,State
,ADDAX,3/10/2013,cr,175,,,sab,412,OSSU-IZOMBO BULKLINE ROW,5.6263056,6.79525,Oguta,sw,IM,State
,SPDC,3/3/2013,cr,634,604,,sab,413,"30""NCTL & 28"" NCTL RIGHT OF WAY NEAR AWOBA",4.567889,6.861417,Degema,sw,RI,State
,SPDC,2/26/2013,cr,155,,,sab,414,AWOBA NORTH WEST 1 F/L,4.561056,6.751611,Akuku Toru,sw,RI,State
,SPDC,2/21/2013,cr,105,79,,sab,415,"12"" IMOR OGALE T/L @ UZUAKU",4.894667,7.177056,Ukwa West,la,AB,State
,SPDC,2/13/2013,cr,141,,,other:,416,DIEBU CREEK W2T SLOT,4.652306,6.084333,Southern Ijaw,sw,BY,State
